Property Address,Insight 1,Insight 2,Driver,Account,Criticality
"1498 Mccann Gardens St, Seattle",Energy Usage,Off-Hours,Low energy efficiency,TechSphere Inc.,Critical
"948 Pollard Tunnel St, Chicago",Compliance,Regulatory Updates,Multiple non-compliance incidents,EverGrow Farms,Low
"5425 Spence Rapid St, Seattle",Compliance,Regulatory Updates,Upcoming regulatory changes,Bank of ACME,Medium
"3930 Diaz Loaf St, New York",Compliance,Regulatory Updates,Upcoming regulatory changes,EverGrow Farms,Medium
"3723 Nelson Locks St, Chicago",Leases,Expiring,Low renewal rates,Bank of ACME,Critical
"6303 Michelle Forge St, Chicago",Leases,Occupancy,Low renewal rates,StreamView Media,High
"4857 Mendoza Prairie St, Seattle",Energy Usage,Peak Hours,High energy usage during peak hours,Quantum Dynamics,Critical
"3726 Valenzuela Tunnel St, Houston",Leases,Expiring,High number of expiring leases,NexaRetail,Critical
"5862 Cole Villages St, New York",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,EverGrow Farms,Medium
"4445 Beth Extension St, San Francisco",Compliance,Regulatory Updates,Multiple non-compliance incidents,Skyline Properties,High
"3364 Vasquez Mountains St, Chicago",Budgets,Budget Compliance,Energy Costs above 15% mean,TechSphere Inc.,Medium
"4210 Dave Stream St, Chicago",Work Orders,Preventative,High number of reactive work orders,TechSphere Inc.,High
"7279 Bailey Passage St, Seattle",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,NexaRetail,Low
"6711 Tyler Dam St, Boston",Work Orders,Preventative,High number of reactive work orders,EverGrow Farms,High
"2772 Ricky Ramp St, New York",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,GreenLeaf Co.,High
"8098 Berger Well St, Houston",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,GreenLeaf Co.,Critical
"8688 Thompson Islands St, Chicago",Compliance,Regulatory Updates,Multiple non-compliance incidents,TechSphere Inc.,High
"4735 Gregory Throughway St, Miami",Energy Usage,Peak Hours,High energy usage during peak hours,Skyline Properties,Low
"3541 Joshua Walks St, Boston",Energy Usage,Peak Hours,Low energy efficiency,EverGrow Farms,Medium
"8237 Robinson Centers St, Boston",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,NexaRetail,Critical
"9744 Randy Avenue St, San Francisco",Budgets,Energy Cost Variance,Energy Costs above 15% mean,Quantum Dynamics,High
"8947 Patrick Cove St, Los Angeles",Energy Usage,Peak Hours,High energy usage during peak hours,Bank of ACME,High
"6754 Linda Course St, Los Angeles",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,GreenLeaf Co.,High
"812 Courtney Mills St, Boston",Energy Usage,Energy Efficiency,High energy usage during peak hours,Skyline Properties,Medium
"1879 Parsons Pine St, Seattle",Energy Usage,Off-Hours,High energy usage during peak hours,Quantum Dynamics,Low
"383 Schneider Bridge St, Los Angeles",Energy Usage,Off-Hours,Low energy efficiency,Skyline Properties,Critical
"1531 Butler Wells St, Atlanta",Work Orders,Reactive,Completion Rates below 50%,EverGrow Farms,High
"1149 Timothy Fork St, Chicago",Energy Usage,Peak Hours,High energy usage during peak hours,TechSphere Inc.,Critical
"1320 Harris Villages St, Los Angeles",Energy Usage,Energy Efficiency,High energy usage during peak hours,StreamView Media,Low
"3453 Kyle Estate St, Los Angeles",Work Orders,Completion Rate,Completion Rates below 50%,Quantum Dynamics,Medium
"7788 James Greens St, Boston",Energy Usage,Peak Hours,High energy usage during peak hours,Quantum Dynamics,High
"830 Butler Prairie St, Seattle",Energy Usage,Energy Efficiency,Low energy efficiency,GreenLeaf Co.,Low
"2133 Victoria Gateway St, Boston",Leases,Renewal Rate,High number of expiring leases,Skyline Properties,Low
"3461 Cassie Loop St, Atlanta",Compliance,Regulatory Updates,Upcoming regulatory changes,NexaRetail,High
"7806 Williams Estate St, San Francisco",Energy Usage,Off-Hours,Low energy efficiency,Quantum Dynamics,Medium
"6472 Brandon Grove St, Los Angeles",Budgets,Energy Cost Variance,Energy Costs above 15% mean,GreenLeaf Co.,High
"5284 Hobbs Motorway St, San Francisco",Leases,Expiring,Low renewal rates,TechSphere Inc.,Medium
"4483 Blair Lights St, Los Angeles",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,NexaRetail,Critical
"8401 Gomez Bypass St, Dallas",Work Orders,Reactive,High number of reactive work orders,EverGrow Farms,High
"2999 Jackson Squares St, Boston",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Bank of ACME,Medium
"7697 Barber Brook St, Los Angeles",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,EverGrow Farms,Critical
"4582 Samuel Valley St, Boston",Leases,Occupancy,High number of expiring leases,Bank of ACME,Medium
"5066 Brown Passage St, New York",Energy Usage,Off-Hours,High energy usage during peak hours,Quantum Dynamics,High
"2080 Jeffery Pike St, Miami",Energy Usage,Peak Hours,High energy usage during peak hours,TechSphere Inc.,Medium
"2683 Brandy Points St, Seattle",Energy Usage,Energy Efficiency,Low energy efficiency,EverGrow Farms,Critical
"2044 Carter Prairie St, Dallas",Work Orders,Reactive,Completion Rates below 50%,NexaRetail,Medium
"6352 Hill Flats St, Dallas",Budgets,Energy Cost Variance,Energy Costs above 15% mean,GreenLeaf Co.,High
"8416 Christine Cape St, Boston",Work Orders,Reactive,Completion Rates below 50%,GreenLeaf Co.,Medium
"8515 Simpson Ville St, Atlanta",Leases,Occupancy,Low renewal rates,TechSphere Inc.,Medium
"6324 Moore Field St, Houston",Compliance,Regulatory Updates,Multiple non-compliance incidents,Bank of ACME,Low
"3461 Mitchell Way St, Dallas",Compliance,Compliance Score,Multiple non-compliance incidents,NexaRetail,Low
"2271 Mahoney Ranch St, Houston",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,StreamView Media,High
"7543 Brittany Mission St, Seattle",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,NexaRetail,Low
"7973 Mccoy Stream St, New York",Leases,Occupancy,High number of expiring leases,EverGrow Farms,Medium
"9531 Murphy Roads St, New York",Compliance,Compliance Score,Multiple non-compliance incidents,Quantum Dynamics,Low
"8758 Julie Squares St, Dallas",Energy Usage,Off-Hours,Low energy efficiency,TechSphere Inc.,Critical
"4485 Eric Estate St, Miami",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,Skyline Properties,Low
"7483 Matthew Plaza St, Los Angeles",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,StreamView Media,Medium
"9297 Mckinney Plains St, New York",Leases,Expiring,High number of expiring leases,GreenLeaf Co.,Critical
"6292 Macias Crescent St, Boston",Leases,Expiring,Low renewal rates,TechSphere Inc.,Medium
"3725 Strickland Creek St, Boston",Work Orders,Completion Rate,High number of reactive work orders,Skyline Properties,Low
"2688 Cristian Ridges St, New York",Energy Usage,Energy Efficiency,High energy usage during peak hours,EverGrow Farms,Critical
"1940 Natalie Avenue St, Boston",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,StreamView Media,Low
"9692 Andrea Lights St, Miami",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,NexaRetail,Low
"7509 Kayla Fall St, New York",Work Orders,Preventative,High number of reactive work orders,GreenLeaf Co.,High
"8869 Phillips Glens St, San Francisco",Energy Usage,Peak Hours,Low energy efficiency,EverGrow Farms,High
"8400 Howell Street St, Chicago",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,StreamView Media,Medium
"4322 Fields Stream St, Seattle",Work Orders,Completion Rate,High number of reactive work orders,Skyline Properties,Low
"5151 Campbell Falls St, Boston",Work Orders,Preventative,Completion Rates below 50%,Skyline Properties,Low
"8048 Christina Spur St, Miami",Compliance,Compliance Score,Multiple non-compliance incidents,Quantum Dynamics,Critical
"5251 Petersen Hills St, Atlanta",Compliance,Compliance Score,Multiple non-compliance incidents,NexaRetail,Low
"7702 Kayla Tunnel St, Seattle",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,TechSphere Inc.,Critical
"5682 Eileen Lodge St, New York",Compliance,Compliance Score,Upcoming regulatory changes,TechSphere Inc.,High
"8230 Rodriguez Inlet St, Seattle",Work Orders,Reactive,High number of reactive work orders,GreenLeaf Co.,Medium
"9246 George Court St, Houston",Work Orders,Completion Rate,High number of reactive work orders,NexaRetail,Critical
"4086 Wesley Manor St, Boston",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,TechSphere Inc.,High
"348 Nicholas Village St, Chicago",Budgets,Budget Compliance,Energy Costs above 15% mean,StreamView Media,Low
"297 Jennifer Camp St, Dallas",Budgets,Budget Compliance,Energy Costs above 15% mean,NexaRetail,Low
"9120 Conrad Light St, Miami",Budgets,Energy Cost Variance,Energy Costs above 15% mean,Quantum Dynamics,Low
"8438 Adams Trail St, Seattle",Work Orders,Reactive,High number of reactive work orders,Skyline Properties,Critical
"1224 Rodney Haven St, New York",Work Orders,Reactive,High number of reactive work orders,TechSphere Inc.,Critical
"6780 Michael Flats St, San Francisco",Compliance,Regulatory Updates,Multiple non-compliance incidents,Bank of ACME,High
"9855 Ruiz Common St, Miami",Work Orders,Completion Rate,Completion Rates below 50%,NexaRetail,High
"6793 Contreras Inlet St, Atlanta",Leases,Occupancy,Low renewal rates,Quantum Dynamics,High
"169 Chaney Avenue St, Atlanta",Work Orders,Preventative,Completion Rates below 50%,GreenLeaf Co.,High
"7026 Rivera Gateway St, Atlanta",Energy Usage,Peak Hours,High energy usage during peak hours,Skyline Properties,Low
"6973 Julie Mall St, Houston",Budgets,Budget Compliance,Energy Costs above 15% mean,TechSphere Inc.,High
"8668 John Mall St, Miami",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Bank of ACME,High
"9803 Tiffany Courts St, San Francisco",Work Orders,Preventative,Completion Rates below 50%,EverGrow Farms,Critical
"3594 Martin Crossroad St, Houston",Work Orders,Preventative,Completion Rates below 50%,Skyline Properties,Critical
"2100 Stafford Track St, Los Angeles",Energy Usage,Energy Efficiency,Low energy efficiency,GreenLeaf Co.,High
"411 Ortega Plains St, Seattle",Leases,Expiring,High number of expiring leases,NexaRetail,High
"5373 Herrera Fords St, Atlanta",Energy Usage,Energy Efficiency,Low energy efficiency,Quantum Dynamics,Low
"3404 Carter Parkway St, Atlanta",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Quantum Dynamics,Critical
"9549 David Mount St, Los Angeles",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Quantum Dynamics,High
"2137 Solomon Light St, Houston",Leases,Occupancy,High number of expiring leases,GreenLeaf Co.,High
"4035 Donovan Harbors St, Miami",Work Orders,Preventative,Completion Rates below 50%,Bank of ACME,Low
"4013 Catherine Cliffs St, Los Angeles",Leases,Renewal Rate,High number of expiring leases,TechSphere Inc.,Low
"131 Marilyn Cape St, Houston",Leases,Renewal Rate,High number of expiring leases,StreamView Media,Medium
"4836 Coleman Track St, Atlanta",Budgets,Energy Cost Variance,Energy Costs above 15% mean,GreenLeaf Co.,Low
"9962 Roberts Lodge St, Dallas",Work Orders,Preventative,Completion Rates below 50%,Bank of ACME,Low
"3835 Emily Cliff St, Boston",Compliance,Regulatory Updates,Multiple non-compliance incidents,Quantum Dynamics,Critical
"9991 Karen Motorway St, Chicago",Leases,Renewal Rate,High number of expiring leases,Skyline Properties,Medium
"4568 Montgomery Spring St, New York",Compliance,Regulatory Updates,Upcoming regulatory changes,Skyline Properties,High
"8591 Hill Fall St, San Francisco",Work Orders,Reactive,Completion Rates below 50%,Quantum Dynamics,High
"6407 Johnson Meadow St, Seattle",Leases,Renewal Rate,High number of expiring leases,NexaRetail,Low
"3955 Cassandra Wall St, New York",Energy Usage,Off-Hours,High energy usage during peak hours,Quantum Dynamics,Medium
"4850 Cochran Pine St, Seattle",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Skyline Properties,Medium
"4647 Scott Fields St, New York",Leases,Occupancy,Low renewal rates,NexaRetail,High
"8302 Stacy Mews St, San Francisco",Compliance,Regulatory Updates,Upcoming regulatory changes,EverGrow Farms,Medium
"4339 Wright Rapids St, Atlanta",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,StreamView Media,Low
"9885 Dougherty Knoll St, Miami",Leases,Occupancy,Low renewal rates,Quantum Dynamics,Medium
"7898 Tony Lodge St, Los Angeles",Energy Usage,Energy Efficiency,High energy usage during peak hours,NexaRetail,High
"3570 Tara Forge St, San Francisco",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Bank of ACME,Medium
"9761 Ortiz Trail St, Los Angeles",Leases,Renewal Rate,High number of expiring leases,TechSphere Inc.,High
"5166 Adrienne Courts St, Miami",Work Orders,Preventative,High number of reactive work orders,Skyline Properties,Low
"3269 Karen Light St, Los Angeles",Work Orders,Preventative,Completion Rates below 50%,Bank of ACME,High
"6844 Paul Spring St, Miami",Compliance,Regulatory Updates,Multiple non-compliance incidents,StreamView Media,Low
"7789 Dawn Light St, Houston",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,StreamView Media,Medium
"6666 Jones Ways St, Los Angeles",Work Orders,Completion Rate,Completion Rates below 50%,EverGrow Farms,Critical
"1508 Christopher Landing St, Los Angeles",Energy Usage,Peak Hours,High energy usage during peak hours,GreenLeaf Co.,High
"253 Edward Common St, San Francisco",Leases,Occupancy,Low renewal rates,EverGrow Farms,High
"657 Alexander Park St, Chicago",Leases,Occupancy,Low renewal rates,TechSphere Inc.,High
"2079 Jackson Lakes St, New York",Budgets,Budget Compliance,Energy Costs above 15% mean,StreamView Media,Medium
"9137 Tracy Camp St, Seattle",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,Skyline Properties,Medium
"3881 Martin Cape St, Houston",Leases,Expiring,Low renewal rates,Quantum Dynamics,Medium
"8563 Ellen Village St, Houston",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,EverGrow Farms,High
"2720 Brian Rest St, Houston",Compliance,Compliance Score,Upcoming regulatory changes,TechSphere Inc.,Low
"8182 Stewart Dale St, Houston",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Skyline Properties,Low
"3718 Julie Light St, Los Angeles",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,Quantum Dynamics,High
"4711 Rodriguez Shoal St, Seattle",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Quantum Dynamics,High
"8449 Vickie Circles St, San Francisco",Work Orders,Preventative,High number of reactive work orders,Bank of ACME,Medium
"7090 Wilson Square St, Chicago",Energy Usage,Peak Hours,High energy usage during peak hours,NexaRetail,Medium
"5666 Gutierrez Trace St, Seattle",Leases,Expiring,High number of expiring leases,EverGrow Farms,High
"5635 Mark Stravenue St, San Francisco",Work Orders,Reactive,Completion Rates below 50%,GreenLeaf Co.,High
"9825 James Trafficway St, New York",Work Orders,Completion Rate,High number of reactive work orders,TechSphere Inc.,Low
"9631 Anna Port St, New York",Budgets,Energy Cost Variance,Energy Costs above 15% mean,NexaRetail,High
"3050 Lisa Stravenue St, Los Angeles",Energy Usage,Off-Hours,High energy usage during peak hours,EverGrow Farms,Medium
"6869 King Street St, Boston",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Bank of ACME,Low
"969 Jennifer Rapids St, Dallas",Leases,Renewal Rate,High number of expiring leases,EverGrow Farms,High
"9364 Schaefer Point St, Chicago",Energy Usage,Energy Efficiency,High energy usage during peak hours,TechSphere Inc.,High
"3029 Stephen Port St, San Francisco",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,EverGrow Farms,Critical
"3349 Taylor Camp St, Chicago",Work Orders,Preventative,Completion Rates below 50%,Skyline Properties,Critical
"7967 Natalie Stravenue St, Los Angeles",Work Orders,Reactive,Completion Rates below 50%,Skyline Properties,Medium
"863 Joshua Village St, San Francisco",Budgets,Budget Compliance,Energy Costs above 15% mean,NexaRetail,Medium
"1370 Howard Stream St, Seattle",Energy Usage,Peak Hours,High energy usage during peak hours,TechSphere Inc.,Low
"2767 Todd Mountain St, Chicago",Work Orders,Completion Rate,Completion Rates below 50%,GreenLeaf Co.,Medium
"6617 Lindsay Skyway St, Los Angeles",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,GreenLeaf Co.,Low
"6981 Harris Trail St, Los Angeles",Energy Usage,Energy Efficiency,Low energy efficiency,Skyline Properties,Low
"2877 Jill Street St, Seattle",Leases,Expiring,Low renewal rates,Skyline Properties,High
"4078 Joseph Row St, Boston",Energy Usage,Energy Efficiency,Low energy efficiency,TechSphere Inc.,Low
"6359 Ricky Spur St, Dallas",Work Orders,Reactive,High number of reactive work orders,Quantum Dynamics,Critical
"6806 Janice Summit St, San Francisco",Work Orders,Reactive,Completion Rates below 50%,Bank of ACME,High
"9698 Brock Motorway St, Houston",Energy Usage,Energy Efficiency,High energy usage during peak hours,NexaRetail,Medium
"6111 Amanda Center St, Atlanta",Work Orders,Completion Rate,Completion Rates below 50%,Bank of ACME,Critical
"4387 Jesse Centers St, San Francisco",Compliance,Compliance Score,Upcoming regulatory changes,GreenLeaf Co.,Critical
"1589 John Greens St, New York",Budgets,Budget Compliance,Janitorial Budget above 20% mean,GreenLeaf Co.,High
"7630 Wright Way St, Miami",Energy Usage,Energy Efficiency,Low energy efficiency,StreamView Media,Critical
"9700 Marquez Heights St, New York",Compliance,Regulatory Updates,Multiple non-compliance incidents,Quantum Dynamics,Critical
"1038 Ray Curve St, Atlanta",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,NexaRetail,Low
"7230 Kathryn Springs St, Seattle",Work Orders,Reactive,High number of reactive work orders,GreenLeaf Co.,Medium
"8743 Dakota Heights St, Houston",Compliance,Regulatory Updates,Upcoming regulatory changes,GreenLeaf Co.,Low
"676 Vincent Extensions St, Chicago",Leases,Expiring,Low renewal rates,NexaRetail,High
"332 Maddox Isle St, Chicago",Energy Usage,Peak Hours,Low energy efficiency,EverGrow Farms,High
"4226 Lauren Crest St, Dallas",Leases,Occupancy,Low renewal rates,EverGrow Farms,Critical
"3942 Rodriguez Key St, Houston",Work Orders,Completion Rate,Completion Rates below 50%,GreenLeaf Co.,Low
"7054 Gordon Path St, Miami",Leases,Occupancy,Low renewal rates,Skyline Properties,Medium
"2642 Susan Creek St, Miami",Compliance,Regulatory Updates,Multiple non-compliance incidents,EverGrow Farms,Medium
"9468 Bowman Junction St, Houston",Work Orders,Completion Rate,High number of reactive work orders,GreenLeaf Co.,Low
"3090 Laura Glen St, New York",Compliance,Regulatory Updates,Multiple non-compliance incidents,GreenLeaf Co.,Low
"2813 Derek Mill St, Boston",Budgets,Budget Compliance,Janitorial Budget above 20% mean,StreamView Media,Medium
"3628 Sarah Mills St, Chicago",Compliance,Regulatory Updates,Upcoming regulatory changes,Quantum Dynamics,Low
"4357 Hogan Gateway St, Dallas",Work Orders,Completion Rate,High number of reactive work orders,StreamView Media,Critical
"3989 Bernard Field St, Atlanta",Leases,Renewal Rate,Low renewal rates,StreamView Media,Low
"6155 Rivers Court St, Dallas",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,TechSphere Inc.,Low
"3081 Elizabeth Mill St, Dallas",Work Orders,Preventative,Completion Rates below 50%,GreenLeaf Co.,High
"2671 Brown Run St, Chicago",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,TechSphere Inc.,High
"9951 Krista Ports St, Miami",Compliance,Compliance Score,Multiple non-compliance incidents,EverGrow Farms,Low
"5242 Melissa Course St, Atlanta",Work Orders,Preventative,High number of reactive work orders,Quantum Dynamics,Medium
"2194 Adams Light St, Seattle",Work Orders,Reactive,Completion Rates below 50%,EverGrow Farms,Critical
"6109 Melinda Circles St, Dallas",Work Orders,Preventative,High number of reactive work orders,GreenLeaf Co.,Low
"3435 Nancy Key St, Houston",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Skyline Properties,Low
"4522 Shaw Forks St, New York",Leases,Renewal Rate,High number of expiring leases,GreenLeaf Co.,Critical
"3514 Bruce Stream St, Los Angeles",Work Orders,Completion Rate,Completion Rates below 50%,Bank of ACME,Low
"9059 Nicole Manors St, Miami",Compliance,Compliance Score,Upcoming regulatory changes,NexaRetail,Critical
"7110 Rodriguez Centers St, Los Angeles",Energy Usage,Peak Hours,High energy usage during peak hours,StreamView Media,Critical
"8908 Stevenson Via St, Chicago",Budgets,Budget Compliance,Energy Costs above 15% mean,EverGrow Farms,High
"6829 Bonilla Highway St, San Francisco",Work Orders,Preventative,High number of reactive work orders,Quantum Dynamics,Low
"2216 Pamela Manors St, Dallas",Budgets,Budget Compliance,Energy Costs above 15% mean,TechSphere Inc.,High
"962 Spence Junction St, Boston",Energy Usage,Energy Efficiency,Low energy efficiency,TechSphere Inc.,Critical
"1688 Lauren Bridge St, Atlanta",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,EverGrow Farms,High
"6650 Angela Keys St, Houston",Energy Usage,Off-Hours,Low energy efficiency,EverGrow Farms,Critical
"9429 Pearson Groves St, New York",Budgets,Energy Cost Variance,Energy Costs above 15% mean,TechSphere Inc.,Low
"5047 Ryan Mills St, Los Angeles",Compliance,Compliance Score,Multiple non-compliance incidents,Quantum Dynamics,Low
"5752 Vickie Park St, Seattle",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,NexaRetail,Medium
"6723 Barton Green St, Chicago",Leases,Occupancy,Low renewal rates,Quantum Dynamics,Critical
"7440 Jones Port St, New York",Leases,Renewal Rate,High number of expiring leases,NexaRetail,Critical
"6672 Angela Ports St, Miami",Energy Usage,Off-Hours,Low energy efficiency,StreamView Media,Medium
"4698 Douglas Haven St, New York",Work Orders,Reactive,Completion Rates below 50%,Skyline Properties,Medium
"4103 Hopkins Garden St, Dallas",Work Orders,Completion Rate,Completion Rates below 50%,Bank of ACME,Low
"7172 Rivers Stravenue St, Miami",Leases,Renewal Rate,High number of expiring leases,TechSphere Inc.,Low
"6793 Wyatt Forges St, Los Angeles",Budgets,Energy Cost Variance,Energy Costs above 15% mean,StreamView Media,Medium
"6404 Justin Spring St, Atlanta",Work Orders,Reactive,High number of reactive work orders,StreamView Media,Low
"7867 Kimberly Valley St, Houston",Work Orders,Completion Rate,High number of reactive work orders,Skyline Properties,Medium
"4470 Gibbs Throughway St, Atlanta",Compliance,Compliance Score,Upcoming regulatory changes,NexaRetail,Low
"9595 James Lakes St, New York",Work Orders,Completion Rate,High number of reactive work orders,Skyline Properties,High
"5931 Daniel Heights St, Chicago",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,NexaRetail,High
"8894 Grimes Estate St, Atlanta",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,Skyline Properties,Critical
"1653 Douglas Cliffs St, Seattle",Leases,Expiring,High number of expiring leases,Bank of ACME,Low
"8706 Ryan Mill St, Los Angeles",Leases,Expiring,Low renewal rates,GreenLeaf Co.,Medium
"1304 Ashley Drive St, Los Angeles",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Skyline Properties,Low
"8352 Carlos Road St, Los Angeles",Work Orders,Completion Rate,High number of reactive work orders,Skyline Properties,Low
"8979 Beverly Crossing St, Houston",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,EverGrow Farms,Low
"9358 Webster Bridge St, Seattle",Compliance,Compliance Score,Multiple non-compliance incidents,NexaRetail,Low
"6726 Nichols Stream St, Dallas",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Bank of ACME,Low
"9689 Bailey Manors St, Seattle",Leases,Occupancy,High number of expiring leases,StreamView Media,Low
"3349 Callahan Springs St, Los Angeles",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,Bank of ACME,Low
"678 Justin Square St, Miami",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,NexaRetail,Medium
"8336 Dillon Island St, Houston",Leases,Renewal Rate,High number of expiring leases,Quantum Dynamics,High
"4218 Washington Shore St, San Francisco",Work Orders,Preventative,Completion Rates below 50%,GreenLeaf Co.,Critical
"1790 Frost Field St, Miami",Compliance,Compliance Score,Multiple non-compliance incidents,NexaRetail,Medium
"8581 Schmidt Union St, Dallas",Work Orders,Completion Rate,High number of reactive work orders,TechSphere Inc.,Critical
"640 Daniels Fields St, Miami",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Bank of ACME,Critical
"9815 Walters Shores St, Atlanta",Compliance,Regulatory Updates,Upcoming regulatory changes,Bank of ACME,Medium
"7866 Hubbard Glen St, Chicago",Leases,Occupancy,High number of expiring leases,Quantum Dynamics,High
"6836 Gary Highway St, Miami",Budgets,Budget Compliance,Janitorial Budget above 20% mean,EverGrow Farms,Low
"1530 Micheal Inlet St, San Francisco",Work Orders,Completion Rate,High number of reactive work orders,TechSphere Inc.,Critical
"5776 Christopher Groves St, Miami",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,EverGrow Farms,High
"2542 Phillip Fork St, Atlanta",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,GreenLeaf Co.,Medium
"6646 Pamela Loop St, Seattle",Work Orders,Preventative,High number of reactive work orders,NexaRetail,Medium
"8387 Harris Courts St, New York",Work Orders,Preventative,Completion Rates below 50%,EverGrow Farms,Medium
"5100 Yvette Garden St, Atlanta",Accessibility,Elevator Status,Frequent elevator breakdowns,NexaRetail,Critical
"7034 Smith Causeway St, Miami",Leases,Renewal Rate,Low renewal rates,Quantum Dynamics,Critical
"3286 Watson Expressway St, Chicago",Compliance,Compliance Score,Upcoming regulatory changes,Skyline Properties,Low
"3516 Dana Branch St, Seattle",Energy Usage,Peak Hours,High energy usage during peak hours,Bank of ACME,Medium
"4701 Thomas Summit St, Seattle",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Quantum Dynamics,Low
"4794 Coleman Knolls St, Houston",Energy Usage,Energy Efficiency,Low energy efficiency,Quantum Dynamics,High
"934 Sanders Key St, Atlanta",Accessibility,Elevator Status,Lack of nearby public transport,Skyline Properties,High
"2043 Kyle Alley St, Houston",Accessibility,ADA Compliance,Lack of nearby public transport,NexaRetail,Medium
"3566 Holmes Mountains St, New York",Compliance,Compliance Score,Upcoming regulatory changes,EverGrow Farms,Critical
"597 Norris Union St, Atlanta",Energy Usage,Off-Hours,Low energy efficiency,EverGrow Farms,Medium
"2289 Ashley Points St, Miami",Leases,Expiring,High number of expiring leases,Bank of ACME,Critical
"9645 Bailey Alley St, Houston",Energy Usage,Energy Efficiency,High energy usage during peak hours,GreenLeaf Co.,Medium
"836 Harris Flat St, Atlanta",Safety Incidents,Hazardous Materials,Hazardous material spill,StreamView Media,High
"4340 Jennifer Estates St, Los Angeles",Budgets,Budget Compliance,Janitorial Budget above 20% mean,NexaRetail,Medium
"1773 Johnson Trace St, Atlanta",Tenant Satisfaction,Lease Satisfaction,Multiple noise complaints,GreenLeaf Co.,High
"1486 Hayes Extension St, Boston",Tenant Satisfaction,Lease Satisfaction,Low lease satisfaction scores,NexaRetail,Low
"7947 Schultz Via St, San Francisco",Accessibility,Elevator Status,Non-ADA compliant areas,Skyline Properties,Medium
"8896 Robinson Forges St, Miami",Budgets,Energy Cost Variance,Energy Costs above 15% mean,StreamView Media,Critical
"679 Cynthia Rapids St, New York",Tenant Satisfaction,Noise Complaints,Negative amenities feedback,GreenLeaf Co.,Low
"540 Brittany Walks St, Boston",Safety Incidents,Fire Safety,Multiple electrical faults,Skyline Properties,Low
"5464 David Burgs St, Houston",Budgets,Energy Cost Variance,Energy Costs above 15% mean,TechSphere Inc.,Medium
"8101 Harrell Manor St, Seattle",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,TechSphere Inc.,Critical
"3487 Nancy Roads St, Dallas",Leases,Occupancy,High number of expiring leases,Quantum Dynamics,Low
